rho7.0   80Fe   N=  80  V[A^3]= 1059.8033 rho[g/cc]=  7.0000 T[K]=   4000  P[GPa]=     2.208  0.497 E[Ha]= -19.07341600  0.01851700  t=  1.38  0.83  
rho7.1   80Fe   N=  80  V[A^3]= 1044.8765 rho[g/cc]=  7.1000 T[K]=   4000  P[GPa]=     3.065  0.204 E[Ha]= -19.19082300  0.01038700  t=  5.15  3.09  
rho7.2   80Fe   N=  80  V[A^3]= 1030.3643 rho[g/cc]=  7.2000 T[K]=   4000  P[GPa]=     4.714  0.208 E[Ha]= -19.27875600  0.00871800  t=  6.13  3.68  
rho7.25  80Fe   N=  80  V[A^3]= 1023.2583 rho[g/cc]=  7.2500 T[K]=   4000  P[GPa]=     5.745  0.158 E[Ha]= -19.30242100  0.00823800  t=  6.33  3.80  
rho7.3   80Fe   N=  80  V[A^3]= 1016.2497 rho[g/cc]=  7.3000 T[K]=   4000  P[GPa]=     5.533  0.169 E[Ha]= -19.37494900  0.00797300  t=  5.58  3.35  
rho7.5   80Fe   N=  80  V[A^3]=  989.1497 rho[g/cc]=  7.5000 T[K]=   4000  P[GPa]=    10.099  0.138 E[Ha]= -19.45196900  0.00929700  t=  5.05  3.03  
rho7.6   80Fe   N=  80  V[A^3]=  976.1346 rho[g/cc]=  7.6000 T[K]=   4000  P[GPa]=    11.310  0.190 E[Ha]= -19.53532500  0.01044500  t=  5.09  3.06  
15GPa    80Fe   N=  80  V[A^3]=  962.2814 rho[g/cc]=  7.7094 T[K]=   4000  P[GPa]=    13.816  0.284 E[Ha]= -19.57191100  0.01368400  t=  3.77  2.26  
rho7.85  80Fe   N=  80  V[A^3]=  945.0475 rho[g/cc]=  7.8500 T[K]=   4000  P[GPa]=    17.025  0.349 E[Ha]= -19.62433500  0.01670100  t=  2.79  1.67  
rho8.0   80Fe   N=  80  V[A^3]=  927.3279 rho[g/cc]=  8.0000 T[K]=   4000  P[GPa]=    20.252  0.260 E[Ha]= -19.69669700  0.01059500  t=  3.58  2.15  
rho8.1   80Fe   N=  80  V[A^3]=  915.8794 rho[g/cc]=  8.1000 T[K]=   4000  P[GPa]=    22.714  0.341 E[Ha]= -19.71024400  0.01672000  t=  3.09  1.86  
25GPa_2  80Fe   N=  80  V[A^3]=  909.7011 rho[g/cc]=  8.1550 T[K]=   4000  P[GPa]=    23.697  0.273 E[Ha]= -19.75964300  0.01345800  t=  3.42  2.05  
rho8.2   80Fe   N=  80  V[A^3]=  904.7101 rho[g/cc]=  8.2000 T[K]=   4000  P[GPa]=    24.472  0.297 E[Ha]= -19.77758000  0.01679400  t=  4.16  2.49  
